gps_time,lax,lay,laz,avx,avy,avz,x,y,z,w
1429447989.88218,-0.338506343993917,-0.166627536201105,-9.88607717245817,0.000555388571228832,0.000917390454560518,0.00170399050693959,-0.00788895599544048,-0.0163042154163122,-0.67772388458252,0.735093414783478
1429447989.89718,-0.256564667964168,-0.171867245219182,-9.74645009058118,-0.000629796704743057,-0.000666500942315906,0.00197402876801789,-0.007882428355515,-0.0163069646805525,-0.677715659141541,0.735100984573364
1429447989.90218,-0.356553603468463,-0.165533749615028,-9.81698317796588,-0.000649255351163447,-0.000306403817376122,0.000551884470041841,-0.00788035336881876,-0.0163080003112555,-0.677721738815308,0.735095322132111
1429447989.91218,-0.338505394145846,-0.161798435544223,-9.90132851760387,-0.00118940672837198,-0.00316284410655499,0.0014812370063737,-0.00789421517401934,-0.01632528193295,-0.677723526954651,0.735093176364899
1429447989.92718,-0.30557735813735,-0.139007872266416,-9.70716729698479,-0.00030199927277863,-0.000866352405864745,0.000136257338454016,-0.00788505654782057,-0.0163242351263762,-0.677727818489075,0.735089361667633
1429447989.93218,-0.366265653861314,-0.159872819510195,-9.9801349278152,-0.000574448320548981,-5.77082391828299e-06,0.00131469254847616,-0.00788504164665937,-0.0163346435874701,-0.677733778953552,0.735083639621735
1429447989.94218,-0.246483254535962,-0.11597596538025,-9.64301894220114,-0.000225040479563177,0.00015899061691016,0.00256332498975098,-0.0078713009133935,-0.0163214188069105,-0.677725493907928,0.735091626644135
1429447989.95718,-0.348179889007285,-0.146307226361195,-9.94739468773007,-0.002779123140499,-0.000211010221391916,0.00265045696869493,-0.00787759199738503,-0.0163128040730953,-0.677725911140442,0.735091507434845
1429447989.96218,-0.212720831796248,-0.125784982474707,-9.64476140195429,-0.000595036370214075,-0.000606166780926287,0.00158263184130192,-0.0078673530369997,-0.0163054727017879,-0.677713394165039,0.735103249549866
1429447989.97318,-0.349139966211095,-0.158487867957819,-9.87796868480444,-0.00156068371143192,-0.000484898540889844,0.00298448000103235,-0.00787332933396101,-0.0163042116910219,-0.677711367607117,0.735105097293854
1429447989.98718,-0.279513088684808,-0.171704985595867,-9.7731148101449,-0.00148609292227775,-0.00163969025015831,0.00107744173146784,-0.00787181593477726,-0.0163112580776215,-0.677712082862854,0.735104322433472
1429447989.99218,-0.371136145974509,-0.156401490137819,-9.79590531862378,-0.00179093459155411,0.000889689370524138,0.00283827167004347,-0.0078717116266489,-0.0163094960153103,-0.677714228630066,0.735102355480194
1429447990.00218,-0.34783348672241,-0.150704958996642,-9.92082466071248,-0.000777087057940662,-0.00225317152217031,0.00212891469709575,-0.00788172706961632,-0.016326354816556,-0.677718222141266,0.735098123550415
1429447990.02218,-0.353308118741214,-0.15077924807556,-9.98945103769302,-0.00146566680632532,0.000280341249890625,0.00179560435935855,-0.00787259638309479,-0.016326867043972,-0.677728295326233,0.735089004039764
1429447990.03218,-0.248501827816758,-0.114181437513139,-9.6283819295615,-0.000829525932203978,0.00178977684117854,0.00279498100280762,-0.00785929895937443,-0.0163091588765383,-0.67771965265274,0.735097467899323
1429447990.05218,-0.216559661040455,-0.123408846194204,-9.63052654037475,0.000210801576031372,-0.00224304711446166,0.0014165221946314,-0.00785988382995129,-0.0163177270442247,-0.677717268466949,0.735099494457245
1429447990.06218,-0.334595344562642,-0.15653779333597,-9.87044822617173,-0.000274819467449561,-0.000367908156476915,0.000168150931131095,-0.00785015989094973,-0.0163133461028337,-0.677727699279785,0.735090017318726
1429447990.07718,-0.270041349853855,-0.162132982994523,-9.76115841489136,-0.00134324282407761,-0.00210449704900384,0.000845623144414276,-0.00785531289875507,-0.0163231771439314,-0.677726447582245,0.735090970993042
1429447990.08218,-0.347909766829014,-0.142376855509169,-9.79064695970416,-0.00234949961304665,-0.000730463652871549,0.00119485729373991,-0.00786553788930178,-0.0163162481039762,-0.677732348442078,0.735085546970367
1429447990.09218,-0.352893802319281,-0.137124780199863,-9.90533366159201,-0.000949419511016458,-0.00327209173701704,0.00227767182514071,-0.00788050517439842,-0.0163383800536394,-0.677734136581421,0.735083281993866
1429447990.10718,-0.311211436767876,-0.102338192911027,-9.69255658783019,-0.000714120338670909,0.000918834295589477,0.000938997021876276,-0.00787558499723673,-0.0163304097950459,-0.677735149860382,0.735082566738129
1429447990.11218,-0.361675878385641,-0.125038557154732,-9.97701708805561,-0.0029338386375457,0.00233756192028522,0.00129474129062146,-0.0078722108155489,-0.016318129375577,-0.677743077278137,0.73507559299469
1429447990.12218,-0.238221914408077,-0.0909837547391653,-9.63437620154023,-0.00139897060580552,0.00199101539328694,0.00233135907910764,-0.00786019954830408,-0.016296673566103,-0.677734315395355,0.735084176063538
1429447990.13718,-0.329855237363465,-0.118427313188277,-9.93813352290988,-0.00094476732192561,-0.000898818951100111,0.00264708418399096,-0.0078633539378643,-0.0162966363132,-0.677732348442078,0.735086023807526
1429447990.14218,-0.210595437140111,-0.104267014682293,-9.65162953415811,0.000797365733888,-0.00248265196569264,0.00194107077550143,-0.00785294361412525,-0.0162965506315231,-0.677722930908203,0.735094785690308
1429447990.15218,-0.322777590594813,-0.142118990024272,-9.84950597590804,-0.000177264562807977,-0.00135986600071192,0.000943992228712887,-0.0078522888943553,-0.0163002349436283,-0.67772650718689,0.7350914478302
1429447990.16718,-0.272944195155893,-0.147258645334514,-9.78360522449911,0.00055286823771894,-0.00212744739837945,-0.000304660585243255,-0.00785245187580585,-0.0163112245500088,-0.677729725837708,0.735088288784027
1429447990.17218,-0.33774982653819,-0.124690172975324,-9.77532722549736,-0.000432130065746605,-0.00156522635370493,0.00259281299076974,-0.00785943120718002,-0.0163127053529024,-0.677726864814758,0.735090792179108
1429447990.18218,-0.333854609197937,-0.124616678480851,-9.9310760056138,-0.00025356124388054,-0.00343859288841486,0.000982378609478474,-0.00786928180605173,-0.016326054930687,-0.677733600139618,0.735084176063538
1429447990.19718,-0.288467215116136,-0.0955966553620994,-9.68347194862068,-0.000648342655040324,0.000108684063889086,0.00170698831789196,-0.00786225590854883,-0.0163123700767756,-0.677725732326508,0.735091745853424
1429447990.20218,-0.363066602091677,-0.137371128776902,-9.99227077128887,0.00121897936332971,-0.00166316516697407,0.00201520160771906,-0.00786401424556971,-0.0163335781544447,-0.677734076976776,0.73508358001709
1429447990.21218,-0.252806301811337,-0.111476818196941,-9.6455773945123,-0.0018835955997929,0.00111304398160428,0.000943601538892835,-0.0078565925359726,-0.0163145679980516,-0.677731513977051,0.735086441040039
1429447990.22718,-0.336611616288498,-0.137506993583636,-9.93344215022325,-0.000387872656574473,-9.89005784504116e-05,0.0022155090700835,-0.00785388611257076,-0.0163169335573912,-0.67773026227951,0.735087633132935
1429447990.23218,-0.225831383787282,-0.119132493182411,-9.67595207450986,-0.000766975164879113,-0.00172503420617431,0.000294291152385995,-0.00785608496516943,-0.0163122285157442,-0.677727222442627,0.735090434551239
1429447990.24218,-0.323738727244548,-0.153839439363778,-9.82877999874353,0.000439184659626335,-0.000354605348547921,0.00214220467023551,-0.00784486718475819,-0.0163148865103722,-0.677727222442627,0.735090494155884
1429447990.25718,-0.274858559143543,-0.159596377188992,-9.81040146148801,0.000161674746777862,-0.00363887008279562,4.37791368312901e-06,-0.00785154197365046,-0.016331285238266,-0.677731692790985,0.735086023807526
1429447990.26218,-0.355593891590834,-0.132831238591252,-9.75011854996085,-0.00051480921683833,-0.00134400359820575,0.00233084335923195,-0.00785046815872192,-0.0163312219083309,-0.677730321884155,0.735087275505066
